message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.111294, y=5.021660])";"30";"turtle1";"1757576867.693464088";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.247543])";"30";"turtle3";"1757576867.688927003";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.247543])";"30";"turtle2";"1757576867.685416442";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.111294, y=5.044508])";"30";"turtle1";"1757576867.676788264";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.269663])";"30";"turtle3";"1757576867.672231388";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.269663])";"30";"turtle2";"1757576867.669251358";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.111294, y=5.067356])";"30";"turtle1";"1757576867.661140796";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.291782])";"30";"turtle3";"1757576867.655952515";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.291782])";"30";"turtle2";"1757576867.653077526";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.102319, y=5.090204])";"30";"turtle1";"1757576867.645181626";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.313901])";"30";"turtle3";"1757576867.640742623";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.313901])";"30";"turtle2";"1757576867.636866110";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.336020])";"30";"turtle3";"1757576867.624271921";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.336020])";"30";"turtle2";"1757576867.620666944";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.358140])";"30";"turtle3";"1757576867.608741076";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112014, y=5.358140])";"30";"turtle2";"1757576867.605340554";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090220, y=5.380259])";"30";"turtle3";"1757576867.593166816";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090220, y=5.380259])";"30";"turtle2";"1757576867.588924642";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:260"
"Rotation goal completed successfully";"20";"turtle2";"1757576806.341590825";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1757576806.334352415";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576806.329933286";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1757576801.294057385";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576801.273696794";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576801.270738556";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle1";"1757576798.430008100";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle3";"1757576798.426190544";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle2";"1757576798.422468862";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle1";"1757576798.173623147";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle3";"1757576798.170494287";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle2";"1757576798.166687563";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal completed successfully";"20";"turtle1";"1757576792.254487611";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576792.250442851";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576792.246133470";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1757576790.126280165";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576790.122266279";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576790.118576429";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576788.105635359";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576788.101954759";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1757576788.094043777";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1757576762.862114136";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576762.857926337";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576762.855144262";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle3";"1757576761.402785487";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle2";"1757576761.399320757";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle1";"1757576761.390678080";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle1";"1757576760.910973826";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle3";"1757576760.907482514";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal received before a previous goal finished. Aborting previous goal";"30";"turtle2";"1757576760.903738540";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:rotateAbsoluteAcceptCallback:142"
"Rotation goal completed successfully";"20";"turtle1";"1757576758.926401244";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576758.922877433";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576758.919202624";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1757576755.343442024";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1757576755.339866380";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1757576755.335867911";"/Users/runner/conda-bld/bld/rattler-build_ros-humble-turtlesim_1753313455/work/ros-humble-turtlesim/src/work/src/turtle.cpp:update:222"
